sample	gtdb_species	read_rows	truth_abundance	source_genomes	source_genome_ids	fallback_read_rows	fallback_source_genomes	fallback_source_genome_ids
2	s__Oscillibacter welbionis	51556	0.0017740177489863297	1	ASV470.1	0	0	
2	s__Otoolea fessa	2666	9.173580803005576e-05	1	ASV341.8	0	0	
2	s__Parabacteroides distasonis	2000	6.881906078773875e-05	2	ASV173.1,ASV98.0	0	0	
2	s__Parabacteroides goldsteinii	1288272	0.04432883453957089	1	ASV174.2	0	0	
2	s__Parolsenella catena	184	6.331353592471965e-06	1	ASV65.2	0	0	
2	s__Pediococcus acidilactici	74	2.546305249146334e-06	1	ASV278.3	0	0	
2	s__Peptostreptococcus anaerobius	60	2.0645718236321628e-06	1	ASV483.3	0	0	
2	s__Phocaeicola dorei	18224	0.0006270792818978755	1	ASV101.9	0	0	
2	s__Phocaeicola plebeius_A	128	4.40441989041528e-06	1	ASV113.3	0	0	
2	s__Phocaeicola vulgatus	499994	0.017204558739752327	1	ASV124.11	0	0	
2	s__Romboutsia_C hominis	3888	0.00013378425417136415	1	ASV484.5	0	0	
2	s__Roseburia hominis	68594	0.002360287327837076	1	ASV456.0	0	0	
2	s__Roseburia rectalis	85184	0.002931141437071369	1	ASV397.6	0	0	
2	s__Salmonella enterica	7512	0.0002584843923187468	8	ASV376.12,ASV430.3,ASV440.7,ASV494.8,ASV527.0,ASV687.2,ASV74.4,ASV92.4	2852	1	ASV440.7
2	s__Sarcina perfringens	46750	0.0016086455459133934	2	ASV334.12,ASV350.9	0	0	
2	s__Staphylococcus capitis	436	1.5002555251727048e-05	1	ASV243.7	0	0	
2	s__Streptococcus agalactiae	994	3.4203073211506164e-05	1	ASV247.9	0	0	
2	s__Streptococcus mutans	1466	5.044437155741251e-05	2	ASV1.15,ASV286.0	0	0	
2	s__Streptococcus oralis_BK	64	2.20220994520764e-06	1	ASV583.4	0	0	
2	s__Streptococcus pasteurianus	6656	0.00022902983430159459	1	ASV222.6	0	0	
2	s__Streptococcus salivarius_D	512	1.761767956166112e-05	1	ASV204.4	0	0	
2	s__Streptococcus salivarius_F	20230	0.0006961047998679775	1	ASV596.7	0	0	
2	s__Streptococcus sp001556435	107418	0.0036962029358486607	3	ASV255.5,ASV290.11,ASV491.15	0	0	
2	s__Thomasclavelia ramosa	49660	0.0017087772793595534	1	ASV557.7	0	0	
2	s__Turicibacter sanguinis	928	3.1932044205510785e-05	1	ASV573.9	0	0	
2	s__Veillonella parvula	774	2.6632976524854897e-05	1	ASV607.0	774	1	ASV607.0
2	s__Veillonella parvula_A	4746	0.00016330763124930406	1	ASV575.0	0	0	
2	s__Vibrio parahaemolyticus	1250	4.301191299233672e-05	4	ASV401.10,ASV655.1,ASV729.12,ASV815.10	0	0	
2	s__Weissella cibaria	186	6.4001726532597045e-06	1	ASV284.0	0	0	
